Marvelmind X,Marvelmind Y,Fake Marvel X,Fake Marvel Y,Realsense X,Realsense Y
3.02,0.27,2.62,-0.03,1.05,2.25
3.02,0.27,2.62,-0.03,1.06,2.25
3.05,0.28,2.63,-0.03,1.05,2.25
3.08,0.29,2.63,-0.03,1.06,2.25
3.11,0.31,2.63,-0.03,1.06,2.25
3.11,0.31,2.63,-0.03,1.06,2.24
3.15,0.32,2.63,-0.03,1.06,2.24
3.18,0.34,2.63,-0.03,1.06,2.24
3.22,0.35,2.63,-0.03,1.06,2.24
3.22,0.35,2.64,-0.03,1.06,2.24
3.25,0.37,2.64,-0.03,1.06,2.24
3.29,0.39,2.64,-0.03,1.06,2.23
3.33,0.41,2.64,-0.02,1.06,2.23
3.37,0.43,2.64,-0.02,1.07,2.23
3.37,0.43,2.65,-0.02,1.07,2.23
3.41,0.45,2.65,-0.02,1.07,2.23
3.45,0.47,2.65,-0.02,1.07,2.22
3.49,0.49,2.65,-0.02,1.07,2.22
3.49,0.49,2.66,-0.02,1.07,2.22
3.53,0.51,2.66,-0.02,1.07,2.22
3.57,0.54,2.66,-0.02,1.07,2.22
3.6,0.56,2.66,-0.02,1.07,2.22
3.6,0.56,2.66,-0.02,1.07,2.22
3.64,0.57,2.67,-0.01,1.08,2.21
3.67,0.59,2.67,-0.01,1.08,2.21
3.71,0.6,2.67,-0.01,1.08,2.21
3.74,0.62,2.67,-0.02,1.08,2.21
3.74,0.62,2.67,-0.01,1.08,2.21
3.78,0.63,2.67,-0.01,1.08,2.21
3.81,0.64,2.68,-0.01,1.08,2.2
3.85,0.66,2.68,-0.01,1.08,2.2
3.85,0.66,2.68,-0.01,1.08,2.2
3.88,0.67,2.68,-0.01,1.09,2.2
3.92,0.69,2.69,-0.01,1.09,2.19
3.95,0.7,2.69,-0.01,1.09,2.19
3.95,0.7,2.69,-0.01,1.09,2.19
3.99,0.72,2.69,-0.0,1.09,2.19
4.02,0.73,2.69,-0.0,1.09,2.19
4.06,0.75,2.7,-0.0,1.09,2.18
4.06,0.75,2.7,-0.0,1.09,2.18
4.09,0.76,2.7,-0.0,1.09,2.18
4.12,0.78,2.7,-0.0,1.1,2.18
4.16,0.79,2.7,-0.0,1.1,2.18
4.2,0.81,2.71,0.0,1.1,2.17
4.2,0.81,2.71,0.0,1.1,2.17
4.23,0.83,2.71,0.0,1.1,2.17
4.27,0.84,2.71,0.0,1.1,2.17
4.3,0.86,2.71,0.0,1.1,2.17
4.3,0.86,2.72,0.0,1.1,2.17
4.34,0.88,2.72,0.01,1.1,2.16
4.37,0.89,2.72,0.01,1.1,2.16
4.41,0.9,2.72,0.01,1.11,2.16
4.41,0.9,2.73,0.01,1.11,2.16
4.44,0.92,2.73,0.01,1.11,2.15
4.48,0.94,2.73,0.01,1.11,2.15
4.52,0.95,2.73,0.01,1.11,2.15
4.52,0.95,2.73,0.01,1.11,2.15
4.55,0.97,2.73,0.01,1.11,2.15
4.59,0.98,2.74,0.01,1.11,2.15
4.62,1.0,2.74,0.01,1.11,2.14
4.62,1.0,2.74,0.01,1.11,2.14
4.66,1.01,2.74,0.01,1.12,2.14
4.7,1.03,2.75,0.01,1.12,2.14
4.73,1.04,2.75,0.01,1.12,2.14
4.77,1.06,2.75,0.02,1.12,2.13
4.77,1.06,2.75,0.02,1.12,2.13
4.81,1.08,2.75,0.02,1.12,2.13
4.84,1.09,2.76,0.02,1.12,2.13
4.88,1.11,2.76,0.02,1.12,2.12
4.88,1.11,2.76,0.02,1.12,2.12
4.92,1.13,2.76,0.02,1.12,2.12
4.95,1.14,2.76,0.02,1.13,2.12
4.99,1.16,2.77,0.02,1.13,2.12
4.99,1.16,2.77,0.02,1.13,2.12
5.03,1.17,2.77,0.02,1.13,2.12
5.06,1.19,2.77,0.02,1.13,2.11
5.09,1.2,2.77,0.03,1.13,2.11
5.09,1.2,2.78,0.03,1.13,2.11
5.13,1.22,2.78,0.03,1.13,2.11
5.16,1.23,2.78,0.03,1.13,2.11
5.2,1.25,2.78,0.03,1.13,2.11
5.23,1.26,2.78,0.03,1.13,2.11
5.23,1.26,2.78,0.03,1.14,2.11
5.25,1.27,2.78,0.03,1.13,2.11
5.28,1.28,2.78,0.03,1.14,2.1
